order_id,customer_id,order_date,total_amount
101,1,2024-05-10,53000.00
102,2,2024-05-15,70000.00
103,3,2024-06-05,15000.00
104,4,2024-06-12,25000.00
105,5,2024-06-20,80000.00
106,6,2024-07-01,12000.00
107,7,2024-07-05,30000.00
108,8,2024-07-10,45000.00
109,9,2024-07-15,20000.00
110,10,2024-07-20,60000.00
111,11,2024-08-01,35000.00
112,12,2024-08-05,40000.00
113,13,2024-08-10,22000.00
114,14,2024-08-15,50000.00
115,15,2024-08-20,27000.00
116,1,2024-09-01,32000.00
117,2,2024-09-05,41000.00
118,3,2024-09-10,18000.00
119,4,2024-09-15,29000.00
120,5,2024-09-20,75000.00
121,6,2024-10-01,20000.00
122,7,2024-10-05,33000.00
123,8,2024-10-10,47000.00
124,9,2024-10-15,26000.00
125,10,2024-10-20,68000.00
